"runtime","fps","found","explored","disk_usage","fixed_hash_load_factor","hash_load_factor","cache_load_factor","collisions"
16145,0,31718621,5895000010,10.22,12.7003,12.7003,15.0000,3980002228
16205,0,31764229,5915000010,10.22,12.7157,12.7157,15.0000,3993198077
16265,1943294,31821033,5937087513,10.22,12.7341,12.7341,7.0875,4007729181
16325,0,31889508,5965000010,10.22,12.7539,12.7539,15.0000,4026349855
16385,0,31925660,5985000010,10.22,12.7658,12.7658,15.0000,4039496326
16445,1721536,31958620,6002070356,10.22,12.7769,12.7769,12.0703,4050633759
16505,1431094,31990958,6016431104,10.22,12.7901,12.7901,6.4311,4060121985
16565,0,32033083,6035000010,10.22,12.8037,12.8037,15.0000,4072621396
16625,0,32118448,6055000010,10.22,12.8284,12.8284,15.0000,4085907733
16685,496473,32259353,6085000010,10.22,12.8705,12.8705,15.0000,4105743647
16745,1577038,32317810,6103720661,10.22,12.8894,12.8894,13.7207,4118208074
16805,0,32379746,6125000010,10.22,12.9069,12.9069,15.0000,4132487945
16865,0,32433308,6145000010,10.22,12.9232,12.9232,15.0000,4145666206
16925,0,32478495,6165000010,10.22,12.9376,12.9376,15.0000,4158934986
16985,0,32522874,6185000010,10.22,12.9537,12.9537,15.0000,4172447037
17045,0,32571671,6205000010,10.22,12.9714,12.9714,15.0000,4185703346
17105,0,32650771,6225000010,10.22,12.9987,12.9987,15.0000,4198790805
17165,0,32695631,6245000010,10.22,13.0147,13.0147,15.0000,4212125780
17225,0,32757321,6265000010,10.22,13.0368,13.0368,15.0000,4225411797
17285,0,32819568,6285000010,10.22,13.0579,13.0579,15.0000,4238714504
17345,0,32868095,6305000010,10.22,13.0710,13.0710,15.0000,4251986455
17405,0,32919247,6325000010,10.22,13.0870,13.0870,15.0000,4265310769
17465,0,32970844,6345000010,10.22,13.1014,13.1014,15.0000,4278486940
17525,1755605,33039154,6370706419,10.22,13.1215,13.1215,10.7064,4295250048
17585,0,33105555,6395000010,10.22,13.1479,13.1479,15.0000,4311523728
17645,0,33164906,6415000010,10.22,13.1731,13.1731,15.0000,4324784702
17705,0,33206279,6435000010,10.22,13.1879,13.1879,15.0000,4338100797
17765,0,33240031,6455000010,10.22,13.1992,13.1992,15.0000,4351479016
17825,0,33281591,6475000010,10.22,13.2180,13.2180,15.0000,4364968559
17885,0,33341742,6495000010,10.22,13.2406,13.2406,15.0000,4378282798
17945,0,33390091,6515000010,10.22,13.2574,13.2574,15.0000,4391553818
18005,1313611,33446272,6535000010,10.22,13.2795,13.2795,15.0000,4404777864
18065,1716452,33494411,6551472222,10.22,13.2982,13.2982,11.4722,4415581426
18125,0,33534274,6565000010,10.22,13.3120,13.3120,15.0000,4424674950
18185,0,33600530,6595000010,10.22,13.3332,13.3332,15.0000,4444564147
18245,0,33642363,6615000010,10.22,13.3477,13.3477,15.0000,4457754735
18305,0,33676530,6635000010,10.22,13.3585,13.3585,15.0000,4471103211
18365,0,33708916,6655000010,10.22,13.3688,13.3688,15.0000,4484481534
18425,0,33747929,6675000010,10.22,13.3818,13.3818,15.0000,4497961788
18485,0,33790808,6695000010,10.22,13.3975,13.3975,15.0000,4511359283
18545,0,33830976,6715000010,10.22,13.4126,13.4126,15.0000,4524873530
18605,1599763,33874909,6742489852,10.22,13.4270,13.4270,12.4898,4543162039
18665,0,33902748,6755000010,10.22,13.4393,13.4393,15.0000,4551653752
18725,0,33937889,6775000010,10.22,13.4523,13.4523,15.0000,4564970538
18785,0,33974720,6795000010,10.22,13.4658,13.4658,15.0000,4578353268
18845,0,34008641,6815000010,10.22,13.4776,13.4776,15.0000,4591605939
18905,1847286,34066796,6839085784,10.22,13.4984,13.4984,9.0858,4607259787
18965,0,34091870,6855000010,10.22,13.5062,13.5062,15.0000,4617923607
19025,1894395,34127163,6878151506,10.22,13.5178,13.5178,8.1515,4633215370
19085,0,34189498,6905000010,10.22,13.5412,13.5412,15.0000,4651065090
19145,0,34250077,6925000010,10.22,13.5674,13.5674,15.0000,4664233560
19205,0,34314937,6945000010,10.22,13.5901,13.5901,15.0000,4677469918
19265,1931747,34344629,6957966793,10.22,13.6006,13.6006,7.9668,4685895401
19325,0,34412279,6985000010,10.22,13.6261,13.6261,15.0000,4703940811
19385,0,34446552,7005000010,10.22,13.6383,13.6383,15.0000,4717425879
19445,1646115,34483706,7022621295,10.22,13.6501,13.6501,12.6213,4729150555
19505,0,34509355,7035000010,10.22,13.6603,13.6603,15.0000,4737491731
19565,1835298,34557303,7060341617,10.22,13.6758,13.6758,10.3416,4754122535
19625,0,34584610,7075000010,10.22,13.6851,13.6851,15.0000,4763992956
19685,0,34612237,7095000010,10.22,13.6957,13.6957,15.0000,4777311775
19745,0,34644424,7115000010,10.22,13.7048,13.7048,15.0000,4790676456
19805,0,34683584,7135000010,10.22,13.7176,13.7176,15.0000,4803857098
19865,0,34717052,7155000010,10.22,13.7285,13.7285,15.0000,4817223003
19925,0,34756458,7175000010,10.22,13.7443,13.7443,15.0000,4830451154
19985,0,34792533,7195000010,10.22,13.7602,13.7602,15.0000,4843883469
20045,1630229,34825419,7213884497,10.22,13.7745,13.7745,13.8845,4856456292
20105,1995122,34847945,7227130014,10.22,13.7834,13.7834,7.1300,4865243508
20165,0,34881648,7245000010,10.22,13.7956,13.7956,15.0000,4877401343
20225,0,34918166,7265000010,10.22,13.8107,13.8107,15.0000,4890688293
20285,0,34948811,7285000010,10.22,13.8221,13.8221,15.0000,4904033579
20345,0,34991849,7305000010,10.22,13.8392,13.8392,15.0000,4917503386
20405,0,35035605,7325000010,10.22,13.8552,13.8552,15.0000,4930910320
20465,823927,35080269,7345823937,10.22,13.8723,13.8723,5.8239,4944722646
20525,0,35130671,7365000010,10.22,13.8897,13.8897,15.0000,4957618754
20585,1708818,35206092,7392307309,10.22,13.9141,13.9141,12.3073,4975620466
20645,0,35236492,7405000010,10.22,13.9235,13.9235,15.0000,4984144031
20705,0,35270608,7425000010,10.22,13.9352,13.9352,15.0000,4997425080
20765,0,35317875,7445000010,10.22,13.9525,13.9525,15.0000,5010542155
20825,0,35350771,7465000010,10.22,13.9639,13.9639,15.0000,5023788024
20885,0,35385938,7485000010,10.22,13.9765,13.9765,15.0000,5036955759
20945,0,35416560,7505000010,10.78,13.9861,13.9861,15.0000,5050375358
21005,0,35455328,7525000010,10.78,13.9963,13.9963,15.0000,5063558861
21065,0,35496931,7545000010,10.78,14.0076,14.0076,15.0000,5076783744
21125,0,35533713,7565000010,10.78,14.0167,14.0167,15.0000,5090047424
21185,0,35570909,7585000010,10.78,14.0275,14.0275,15.0000,5103367398
21245,1679731,35608808,7602679497,10.78,14.0392,14.0392,12.6795,5115015719
21305,0,35639022,7615000010,10.78,14.0475,14.0475,15.0000,5123315362
21365,0,35690384,7635000010,10.78,14.0630,14.0630,15.0000,5136592349
21425,0,35722531,7655000010,10.78,14.0715,14.0715,15.0000,5149847565
21485,0,35759740,7675000010,10.78,14.0841,14.0841,15.0000,5163167162
21545,0,35810907,7695000010,10.78,14.1044,14.1044,15.0000,5176315911
21605,0,35867242,7715000010,10.78,14.1246,14.1246,15.0000,5189481077
21665,0,35919523,7735000010,10.78,14.1416,14.1416,15.0000,5202503774
21725,0,35967220,7755000010,10.78,14.1575,14.1575,15.0000,5215698572
21785,1752207,35997135,7771270999,10.78,14.1672,14.1672,11.2710,5226326340
21845,0,36024799,7785000010,10.78,14.1755,14.1755,15.0000,5235611694
21905,0,36061190,7805000010,10.78,14.1867,14.1867,15.0000,5248865215
21965,0,36093887,7825000010,10.78,14.1963,14.1963,15.0000,5262209460
22025,0,36129510,7845000010,10.78,14.2069,14.2069,15.0000,5275398210
22085,0,36171985,7865000010,10.78,14.2211,14.2211,15.0000,5288683420
22145,0,36218855,7885000010,10.78,14.2346,14.2346,15.0000,5302024956
22205,0,36264771,7905000010,10.78,14.2475,14.2475,15.0000,5315315397
22265,680965,36323456,7925680975,10.78,14.2644,14.2644,5.6810,5328755598
22325,0,36378366,7945000010,10.78,14.2812,14.2812,15.0000,5341429469
22385,0,36427968,7965000010,10.78,14.2981,14.2981,15.0000,5354526170
22445,0,36471289,7985000010,10.78,14.3119,14.3119,15.0000,5367616104
22505,0,36511603,8005000010,10.78,14.3249,14.3249,15.0000,5380865329
22565,59156,36550151,8025000010,10.78,14.3386,14.3386,15.0000,5393975030
22625,1676603,36581158,8042713196,10.78,14.3485,14.3485,12.7132,5405424360
22685,0,36633462,8065000010,10.78,14.3666,14.3666,15.0000,5420146285
22745,1668038,36665450,8083619308,10.78,14.3774,14.3774,13.6193,5432180830
22805,1963297,36690526,8097457849,10.78,14.3852,14.3852,7.4579,5441158277
22865,0,36727718,8115000010,10.78,14.3971,14.3971,15.0000,5452938421
22925,0,36763804,8135000010,10.78,14.4090,14.4090,15.0000,5466078899
22985,0,36822062,8165000010,10.78,14.4263,14.4263,15.0000,5485776357
