"runtime","fps","found","explored","disk_usage","fixed_hash_load_factor","hash_load_factor","cache_load_factor","collisions"
12475,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
12535,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
12595,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
12655,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
12715,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
12775,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
12835,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
12895,874,18639529,682006815,10.31,8.0418,8.0418,19.3771,662676360
12955,2447,18639910,682101591,10.31,8.0419,8.0419,19.4068,662742889
13015,6425,18640871,682344703,10.31,8.0422,8.0422,19.4827,662923985
13075,21394,18643395,683032763,10.31,8.0429,8.0429,19.6977,663476302
13135,19135,18651255,685016554,10.31,8.0452,8.0452,20.3177,665151128
13195,58612,18669363,688534188,10.31,8.0512,8.0512,21.4169,668152200
13255,80342,18695175,692729754,10.31,8.0603,8.0603,22.7281,671830990
13315,65081,18718706,696922716,10.31,8.0686,8.0686,24.0383,675798643
13375,230928,18761187,702887434,10.31,8.0832,8.0832,25.9023,681403555
13435,118319,18811614,709375721,10.31,8.1013,8.1013,27.9299,687455745
13495,130754,18880980,716672143,10.31,8.1273,8.1273,30.2101,694353697
13555,250105,18979981,725624302,10.31,8.1604,8.1604,33.0076,702719182
13615,170895,19072492,734433889,10.31,8.1949,8.1949,35.7606,711290616
13675,111288,19157115,742693295,10.31,8.2278,8.2278,38.3417,719567756
13735,141961,19246681,750821315,10.31,8.2606,8.2606,40.8817,727686629
13795,85920,19328172,757853235,10.31,8.2904,8.2904,43.0791,734597226
13855,88890,19415924,764422758,10.31,8.3207,8.3207,45.1321,741090133
13915,53381,19475062,768861194,10.31,8.3424,8.3424,46.5191,745552721
13975,44715,19526894,772668677,10.31,8.3600,8.3600,47.7090,749380033
14035,27477,19565823,775205501,10.31,8.3734,8.3734,48.5017,751884500
14095,28352,19594908,777308319,10.31,8.3837,8.3837,49.1589,753985988
14155,20652,19617385,778811480,10.31,8.3920,8.3920,49.6286,755513485
14215,36163,19645773,780526185,10.31,8.4030,8.4030,50.1644,757248855
14275,18240,19670270,782023755,10.31,8.4129,8.4129,50.6324,758755999
14335,67081,19693962,783606829,10.31,8.4219,8.4219,51.1271,760351445
14395,14879,19711138,784859025,10.31,8.4277,8.4277,51.5184,761635148
14455,18835,19727004,786050455,10.31,8.4328,8.4328,51.8908,762870140
14515,33288,19751433,787834224,10.31,8.4419,8.4419,52.4482,764693881
14575,13369,19767064,788831496,10.31,8.4471,8.4471,52.7598,765709443
14635,21490,19786400,790165911,10.31,8.4541,8.4541,53.1768,767081620
14695,9976,19807685,791671192,10.31,8.4607,8.4607,53.6472,768659515
14755,12412,19830286,793206832,10.31,8.4693,8.4693,54.1271,770250080
14815,68846,19845817,794317921,10.31,8.4747,8.4747,54.4743,771424062
14875,14730,19861178,795475658,10.31,8.4804,8.4804,54.8361,772656955
14935,7593,19880120,796937000,10.31,8.4866,8.4866,55.2928,774162224
14995,8839,19897019,798231434,10.31,8.4916,8.4916,55.6973,775519499
15055,9429,19913484,799523018,10.31,8.4975,8.4975,56.1009,776863045
15115,10584,19931979,800782515,10.31,8.5043,8.5043,56.4945,778160852
15175,38132,19949273,801929121,10.31,8.5108,8.5108,56.8528,779329154
15235,40745,19969225,803368653,10.31,8.5185,8.5185,57.3027,780826805
15295,6060,19989002,804541602,10.31,8.5263,8.5263,57.6692,782043230
15355,5766,20003852,805541671,10.31,8.5324,8.5324,57.9818,783088982
15415,0,20009966,806000010,10.31,8.5345,8.5345,58.1250,783558839
15475,0,20009966,806000010,10.31,8.5345,8.5345,58.1250,783558839
15535,0,20009966,806000010,10.31,8.5345,8.5345,58.1250,783558839
15595,0,20009966,806000010,10.31,8.5345,8.5345,58.1250,783558839
15655,0,20009966,806000010,10.31,8.5345,8.5345,58.1250,783558839
15715,0,20009966,806000010,10.31,8.5345,8.5345,58.1250,783558839
15775,0,20009966,806000010,10.31,8.5345,8.5345,58.1250,783558839
15835,0,20009966,806000010,10.31,8.5345,8.5345,58.1250,783558839
15895,12857,20011032,806450788,10.31,8.5348,8.5348,19.5159,783916665
15955,44293,20016190,808440094,10.31,8.5361,8.5361,20.1375,785633834
16015,25800,20031475,813115712,10.31,8.5405,8.5405,21.5987,789896955
16075,40923,20053226,817760408,10.31,8.5482,8.5482,23.0501,794226181
16135,42262,20069324,821096049,10.31,8.5535,8.5535,24.0925,797429182
16195,77416,20105449,827021369,10.31,8.5650,8.5650,25.9442,803013357
16255,46152,20135852,831758251,10.31,8.5752,8.5752,27.4245,807498390
16315,239900,20178544,838054905,10.31,8.5891,8.5891,29.3922,813685329
16375,153989,20225686,843642005,10.31,8.6040,8.6040,31.1381,819201576
16435,80698,20290045,851047539,10.31,8.6252,8.6252,33.4524,826618299
16495,157389,20351467,858529767,10.31,8.6460,8.6460,35.7906,834080709
16555,148563,20446051,869164307,10.31,8.6772,8.6772,39.1138,844969392
16615,102514,20525621,876970109,10.31,8.7025,8.7025,41.5532,853022271
16675,152122,20613441,884943181,10.31,8.7305,8.7305,44.0447,861244185
16735,106588,20669684,891536701,10.31,8.7494,8.7494,46.1052,868118034
16795,40979,20726502,896253952,10.31,8.7667,8.7667,47.5794,872892173
16855,67267,20761032,899324023,10.31,8.7777,8.7777,48.5388,876021377
16915,59390,20797042,902411639,10.31,8.7881,8.7881,49.5036,879187029
16975,63521,20827776,905198450,10.31,8.7980,8.7980,50.3745,882090214
17035,29371,20852736,907121699,10.31,8.8058,8.8058,50.9755,884073420
17095,19090,20870156,908453632,10.31,8.8113,8.8113,51.3918,885466577
17155,21325,20888498,910049801,10.31,8.8169,8.8169,51.8906,887128219
17215,20042,20903714,911406334,10.31,8.8217,8.8217,52.3145,888542944
17275,31075,20932027,913592941,10.31,8.8311,8.8311,52.9978,890784323
17335,74379,20944341,914669157,10.31,8.8348,8.8348,53.3341,891907309
17395,12340,20966320,916213598,10.31,8.8413,8.8413,53.8167,893503176
17455,52565,20986715,917757194,10.31,8.8477,8.8477,54.2991,895130137
